event_index,event_type,start_time,end_time,duration,observer_index,target_index,task_index,level,param,class
1,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:06,376,35,0,1,0,,env
2,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:06,372,35,1,2,0,,env
3,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:02,123,41,2,3,0,,env
4,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:02,140,41,3,4,0,,env
5,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:06,382,35,3,5,0,,env
6,report_satellite_discovery,2024/4/25 4:01,None,None,41,2,3,0,,report
7,report_satellite_discovery,2024/4/25 4:01,None,None,35,1,2,0,,report
8,rule_assign_satellite_validation,2024/4/25 4:01,None,None,-1,2,3,0,[40; 40],rule
9,satellite_single_validation,2024/4/25 4:01,2024/4/25 4:14,181,40,2,3,0,,action
10,satellite_single_validation,2024/4/25 4:01,2024/4/25 4:14,191,40,2,3,0,,action
11,rule_assign_satellite_validation,2024/4/25 4:02,None,None,-1,1,2,0,[40; 40],rule
12,satellite_single_validation,2024/4/25 4:02,2024/4/25 4:14,191,40,1,2,0,,action
13,satellite_single_validation,2024/4/25 4:02,2024/4/25 4:14,181,40,1,2,0,,action
14,report_satellite_discovery_miss,2024/4/25 4:02,None,None,41,3,4,0,,report
15,report_satellite_discovery,2024/4/25 4:04,None,None,35,0,1,0,,report
16,rule_assign_satellite_validation,2024/4/25 4:04,None,None,-1,0,1,0,[40; 40],rule
17,satellite_single_validation,2024/4/25 4:04,2024/4/25 4:14,181,40,0,1,0,,action
18,satellite_single_validation,2024/4/25 4:04,2024/4/25 4:14,191,40,0,1,0,,action
19,report_satellite_discovery,2024/4/25 4:04,None,None,35,3,5,0,,report
20,rule_assign_satellite_validation,2024/4/25 4:04,None,None,-1,3,5,0,[40; 40],rule
21,satellite_single_validation,2024/4/25 4:05,2024/4/25 4:14,181,40,3,5,0,,action
22,satellite_single_validation,2024/4/25 4:05,2024/4/25 4:14,191,40,3,5,0,,action
23,report_satellite_validation,2024/4/25 4:05,None,None,40,1,2,0,,report
24,rule_assign_aircraft_reconnoitre,2024/4/25 4:06,None,None,-1,1,2,0,[0; 1],rule
25,report_satellite_validation,2024/4/25 4:06,None,None,40,2,3,0,,report
26,rule_assign_aircraft_reconnoitre,2024/4/25 4:08,None,None,-1,2,3,0,[2; 3],rule
27,aircraft_arrival,2024/4/25 4:10,2024/4/25 4:06,0,1,1,2,0,,action
28,aircraft_arrival,2024/4/25 4:10,2024/4/25 4:06,0,0,1,2,0,,action
29,aircraft_arrival,2024/4/25 4:12,2024/4/25 4:08,0,3,2,3,0,,action
30,aircraft_arrival,2024/4/25 4:12,2024/4/25 4:08,0,2,2,3,0,,action
31,report_satellite_validation_miss,2024/4/25 4:14,None,None,40,0,1,0,,report
