event_index,event_type,start_time,end_time,duration,observer_index,target_index,task_index,level,param,class
1,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:06,376,35,0,1,0,,env
2,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:06,372,35,1,2,0,,env
3,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:02,123,41,2,3,0,,env
4,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:02,140,41,3,4,0,,env
5,report_satellite_discovery,2024/4/25 4:00,None,None,41,3,4,0,,report
6,rule_assign_satellite_validation,2024/4/25 4:00,None,None,-1,3,4,0,[35; 35],rule
7,satellite_single_validation,2024/4/25 4:00,2024/4/25 4:00,48,35,3,4,0,,action
8,satellite_single_validation,2024/4/25 4:00,2024/4/25 4:00,41,35,3,4,0,,action
9,report_satellite_discovery,2024/4/25 4:01,None,None,41,2,3,0,,report
10,rule_assign_satellite_validation,2024/4/25 4:01,None,None,-1,2,3,0,[35; 40],rule
11,satellite_single_validation,2024/4/25 4:01,2024/4/25 4:14,181,40,2,3,0,,action
12,satellite_single_validation,2024/4/25 4:01,2024/4/25 4:00,39,35,2,3,0,,action
13,report_satellite_discovery,2024/4/25 4:03,None,None,35,0,1,0,,report
14,report_satellite_discovery,2024/4/25 4:03,None,None,35,1,2,0,,report
15,rule_assign_satellite_validation,2024/4/25 4:03,None,None,-1,0,1,0,[40; 40],rule
16,rule_assign_satellite_validation,2024/4/25 4:03,None,None,-1,1,2,0,[40; 40],rule
17,satellite_single_validation,2024/4/25 4:03,2024/4/25 4:14,191,40,0,1,0,,action
18,satellite_single_validation,2024/4/25 4:03,2024/4/25 4:14,181,40,0,1,0,,action
19,satellite_single_validation,2024/4/25 4:03,2024/4/25 4:14,191,40,1,2,0,,action
20,satellite_single_validation,2024/4/25 4:03,2024/4/25 4:14,181,40,1,2,0,,action
21,report_satellite_validation,2024/4/25 4:12,None,None,35,3,4,0,,report
22,report_satellite_validation_miss,2024/4/25 4:14,None,None,40,1,2,0,,report
23,report_satellite_validation_miss,2024/4/25 4:14,None,None,40,0,1,0,,report
24,rule_assign_aircraft_reconnoitre,2024/4/25 4:14,None,None,-1,3,4,0,[0; 1],rule
25,report_satellite_validation,2024/4/25 4:15,None,None,35,2,3,0,,report
26,aircraft_arrival,2024/4/25 4:17,2024/4/25 4:14,0,1,3,4,0,,action
27,rule_assign_aircraft_reconnoitre,2024/4/25 4:17,None,None,-1,2,3,0,[2; 3],rule
28,report_satellite_validation,2024/4/25 4:18,None,None,40,2,3,0,,report
29,aircraft_arrival,2024/4/25 4:19,2024/4/25 4:14,0,0,3,4,0,,action
30,rule_assign_aircraft_reconnoitre,2024/4/25 4:20,None,None,-1,2,3,0,[4; 5],rule
31,aircraft_arrival,2024/4/25 4:21,2024/4/25 4:17,0,3,2,3,0,,action
