event_index,event_type,start_time,end_time,duration,observer_index,target_index,task_index,level,param,class
1,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:06,376,35,0,1,0,,env
2,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:06,372,35,1,2,0,,env
3,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:06,388,35,2,3,0,,env
4,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:02,129,41,0,4,0,,env
5,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:06,382,35,3,5,0,,env
6,report_satellite_discovery,2024/4/25 4:00,None,None,41,0,4,0,,report
7,rule_assign_satellite_validation,2024/4/25 4:00,None,None,-1,0,4,0,[35; 35],rule
8,satellite_single_validation,2024/4/25 4:00,2024/4/25 4:00,41,35,0,4,0,,action
9,satellite_single_validation,2024/4/25 4:00,2024/4/25 4:00,48,35,0,4,0,,action
10,report_satellite_discovery,2024/4/25 4:01,None,None,35,1,2,0,,report
11,rule_assign_satellite_validation,2024/4/25 4:02,None,None,-1,1,2,0,[40; 40],rule
12,satellite_single_validation,2024/4/25 4:02,2024/4/25 4:14,191,40,1,2,0,,action
13,satellite_single_validation,2024/4/25 4:02,2024/4/25 4:14,181,40,1,2,0,,action
14,report_satellite_discovery,2024/4/25 4:04,None,None,35,3,5,0,,report
15,report_satellite_discovery,2024/4/25 4:04,None,None,35,2,3,0,,report
16,rule_assign_satellite_validation,2024/4/25 4:04,None,None,-1,3,5,0,[40; 40],rule
17,rule_assign_satellite_validation,2024/4/25 4:04,None,None,-1,2,3,0,[40; 40],rule
18,satellite_single_validation,2024/4/25 4:05,2024/4/25 4:14,191,40,3,5,0,,action
19,satellite_single_validation,2024/4/25 4:05,2024/4/25 4:14,181,40,3,5,0,,action
20,satellite_single_validation,2024/4/25 4:05,2024/4/25 4:14,181,40,2,3,0,,action
21,satellite_single_validation,2024/4/25 4:05,2024/4/25 4:14,191,40,2,3,0,,action
22,report_satellite_discovery_miss,2024/4/25 4:06,None,None,35,0,1,0,,report
23,report_satellite_validation,2024/4/25 4:13,None,None,40,2,3,0,,report
24,report_satellite_validation_miss,2024/4/25 4:14,None,None,40,3,5,0,,report
25,report_satellite_validation_miss,2024/4/25 4:14,None,None,40,1,2,0,,report
26,report_satellite_validation,2024/4/25 4:14,None,None,35,0,4,0,,report
27,rule_assign_aircraft_reconnoitre,2024/4/25 4:14,None,None,-1,2,3,0,[0; 1],rule
28,rule_assign_aircraft_reconnoitre,2024/4/25 4:16,None,None,-1,0,4,0,[2; 3],rule
29,aircraft_arrival,2024/4/25 4:19,2024/4/25 4:14,0,0,2,3,0,,action
30,aircraft_arrival,2024/4/25 4:19,2024/4/25 4:14,0,1,2,3,0,,action
31,aircraft_arrival,2024/4/25 4:20,2024/4/25 4:16,0,3,0,4,0,,action
